 Sl No., Date, Time,  No2 , Co2 , CO , pm1 , pm2_5, pm10 , Humidity , Temperature ,
1, 2017/07/01 , 11:27 ,0.03,18080.24,5037.33,15.61,37.18,41.51,71.44,29.77,
2, 2017/07/01 , 11:28 ,0.03,233.24,308.95,15.7,35.78,38.08,67.69,29.82,
3, 2017/07/01 , 11:29 ,0.04,84.81,72.68,16.69,36.32,37.53,66.6,29.9,
4, 2017/07/01 , 11:30 ,0.05,86.12,56.5,14.93,34.61,37.27,66.05,29.98, 11:30 
5, 2017/07/01 , 11:31 ,0.05,96.45,51.6,15.18,34.28,36.34,65.8,30.08,
6, 2017/07/01 , 11:32 ,0.05,108.83,49.43,15.18,33.01,35.37,65.79,30.18,
7, 2017/07/01 , 11:33 ,0.06,119.19,48.28,14.32,33.05,34.71,65.71,30.29,
8, 2017/07/01 , 11:34 ,0.06,129.47,47.51,13.03,30.13,31.13,65.58,30.39,
9, 2017/07/01 , 11:35 ,0.06,137.13,46.99,14.47,30.29,32,65.51,30.51,
10, 2017/07/01 , 11:36 ,0.07,143.32,46.56,12.94,29.52,30.69,65.42,30.62,
11, 2017/07/01 , 11:37 ,0.07,145.76,46.22,13.74,29.84,31.26,65.36,30.75,
12, 2017/07/01 , 11:38 ,0.07,143.54,45.87,12.06,29.6,31,65.29,30.88,
13, 2017/07/01 , 11:39 ,0.07,140.02,45.6,14.34,28.52,29.35,65.31,31,
14, 2017/07/01 , 11:40 ,0.07,130.86,45.32,13.87,29,30.99,65.31,31.12,
15, 2017/07/01 , 11:41 ,0.07,121.42,45.09,13.78,30.21,31.63,65.26,31.25,
16, 2017/07/01 , 11:42 ,0.08,112.76,44.87,12.29,28.37,29.6,65.26,31.37,
17, 2017/07/01 , 11:43 ,0.08,106.12,44.72,14.03,28,29.23,65.27,31.5,
18, 2017/07/01 , 11:44 ,0.08,101.13,44.61,13.54,28.79,30.3,65.26,31.62,
19, 2017/07/01 , 11:45 ,0.08,96.81,44.52,13.66,29.59,30.97,65.24,31.74,
20, 2017/07/01 , 11:46 ,0.08,92.75,44.48,13.6,29.41,30.43,65.23,31.85,
21, 2017/07/01 , 11:47 ,0.08,90.19,44.42,12.69,29.11,30.81,65.21,31.96,
22, 2017/07/01 , 11:48 ,0.08,87.59,44.37,12.92,30.18,31.16,65.22,32.06,
23, 2017/07/01 , 11:49 ,0.08,87.17,44.33,14.07,29,30,65.2,32.17,
24, 2017/07/01 , 11:50 ,0.08,86.3,44.28,13.37,29.06,30.28,65.17,32.28,
25, 2017/07/01 , 11:51 ,0.09,85.6,44.24,14.34,29.48,30.51,65.14,32.38,
26, 2017/07/01 , 11:52 ,0.09,85.13,44.24,14.07,31.66,33.74,65.13,32.47,
27, 2017/07/01 , 11:53 ,0.09,84.76,44.22,15.31,30.23,30.86,65.11,32.56,
28, 2017/07/01 , 11:54 ,0.09,85.22,44.2,14.49,32.01,33.09,65.1,32.65,
29, 2017/07/01 , 11:55 ,0.09,85.3,44.19,15.86,33.9,35.25,65.06,32.73,
30, 2017/07/01 , 11:56 ,0.09,86.36,44.17,15.63,34.81,36.09,65.04,32.8,
31, 2017/07/01 , 11:57 ,0.09,86.59,44.17,16.27,34.99,36.78,65.02,32.88,
32, 2017/07/01 , 11:58 ,0.09,86.65,44.15,15.27,33.95,35.66,64.99,32.96,
33, 2017/07/01 , 11:59 ,0.09,86.75,44.17,16.59,35.04,36.08,64.98,33.01,
34, 2017/07/01 , 12:0 ,0.09,87.04,44.16,15.99,33.34,35.15,64.95,33.07,
35, 2017/07/01 , 12:1 ,0.09,87.83,44.17,15.76,34.53,36.33,64.94,33.15,
36, 2017/07/01 , 12:2 ,0.09,88.35,44.15,15.02,34.58,35.41,64.93,33.21,
37, 2017/07/01 , 12:3 ,0.09,88.77,44.14,16.58,35.96,37.37,64.89,33.28,
38, 2017/07/01 , 12:4 ,0.09,89.6,44.15,16.04,34.11,35.65,64.86,33.33,
39, 2017/07/01 , 12:5 ,0.09,90.34,44.14,16.08,36.82,38.75,64.86,33.38,
40, 2017/07/01 , 12:6 ,0.09,90.99,44.12,16.65,35.97,37.43,64.85,33.43,
41, 2017/07/01 , 12:7 ,0.09,91.45,44.15,18.29,38.06,40.52,64.83,33.48,
42, 2017/07/01 , 12:8 ,0.09,92.29,44.13,17.48,38.19,40.62,64.83,33.52,
43, 2017/07/01 , 12:9 ,0.1,93.41,44.1,16.78,37.78,39.21,64.81,33.56,
44, 2017/07/01 , 12:10 ,0.1,94.01,44.1,17.93,37.63,39.07,64.79,33.61,
45, 2017/07/01 , 12:11 ,0.1,93.99,44.13,17.21,37.23,39.14,64.79,33.66,
46, 2017/07/01 , 12:12 ,0.1,94.62,44.16,15.98,37.62,39.55,64.79,33.69,
47, 2017/07/01 , 12:13 ,0.1,95.87,44.14,18.54,37.42,38.85,64.75,33.73,
48, 2017/07/01 , 12:14 ,0.1,96.45,44.13,18,39.04,40.67,64.75,33.77,
